employee_id,age,gender,department,job_level,workload,overtime_hours,job_satisfaction,stress_level,sleep_quality,work_life_balance,burnout_risk
41,46,Female,HR,2,57,22,4,4,9,2,1
42,22,Male,HR,3,37,29,5,6,7,2,1
43,40,Male,IT,5,24,9,1,3,1,2,0
44,48,Male,Sales,3,66,1,1,1,6,3,0
45,27,Male,IT,4,59,10,5,6,7,2,1
46,28,Female,Marketing,5,25,24,2,3,5,1,0
47,55,Female,HR,1,31,28,2,8,5,2,1
48,34,Male,Support,1,31,21,2,7,7,4,0
49,37,Male,HR,5,31,29,5,7,3,3,1
50,56,Male,Finance,3,28,18,4,8,3,1,0
51,24,Female,Marketing,3,61,8,4,7,1,3,1
52,22,Female,Support,1,41,8,3,5,8,4,0
53,26,Female,Sales,1,68,5,3,8,2,2,1
54,24,Male,Sales,4,69,28,2,8,3,3,1
55,49,Female,Support,5,35,9,5,8,7,3,0
56,38,Female,Sales,3,23,21,1,6,8,2,0
57,46,Female,Support,4,69,23,4,2,9,3,1
58,54,Female,Marketing,3,22,7,5,8,8,3,0
59,30,Female,Support,1,35,14,3,1,7,3,0
60,56,Male,Support,5,33,5,4,9,1,4,0
61,34,Male,Finance,2,60,6,4,9,1,4,1
62,51,Male,Finance,5,57,19,5,6,8,4,1
63,35,Male,IT,2,23,16,3,6,7,1,0
64,28,Female,Marketing,4,21,3,5,6,2,3,0
65,34,Male,Marketing,2,29,7,1,4,9,2,0
66,43,Male,Finance,2,30,27,4,1,7,2,0
67,41,Male,Operations,4,58,12,5,1,9,3,0
68,36,Female,Operations,5,45,23,5,1,1,2,1
69,38,Male,IT,4,56,13,1,5,3,1,1
70,44,Female,Operations,1,45,17,5,7,2,2,1
71,46,Female,Operations,1,23,22,4,1,6,4,0
72,45,Female,Operations,2,45,28,2,1,4,4,1
73,49,Male,HR,4,57,16,2,6,2,4,1
74,35,Female,IT,4,47,17,3,2,2,4,1
75,21,Male,Finance,4,21,13,1,2,6,2,0
76,45,Male,Operations,5,21,23,3,7,9,3,0
77,27,Male,Sales,3,35,10,2,9,6,1,0
78,29,Female,Support,3,42,9,1,8,4,1,0
79,44,Female,HR,3,42,12,5,2,9,2,0
80,21,Male,Operations,5,32,28,5,7,2,2,1
81,28,Female,Support,4,40,19,4,5,6,4,0
82,44,Female,Support,3,58,15,2,4,7,3,1
83,31,Female,HR,4,44,13,5,4,3,4,0
84,37,Male,IT,2,56,2,1,4,4,3,0
85,28,Female,Sales,3,68,29,5,9,7,4,1
86,55,Female,Sales,2,32,17,3,7,9,1,0
87,55,Male,Sales,5,34,26,3,7,5,3,1
88,53,Female,Operations,1,47,5,3,4,2,1,0
89,25,Male,HR,5,22,19,3,9,8,4,0
90,59,Female,Sales,5,42,2,3,8,9,1,0
91,48,Female,Support,5,23,18,4,4,2,2,0
92,27,Female,Support,3,66,25,3,6,1,1,1
93,29,Female,Marketing,2,69,2,4,4,4,1,1
94,28,Female,Marketing,3,22,11,4,1,1,4,0
95,32,Female,HR,1,58,7,5,5,1,1,1
96,54,Male,Operations,5,27,24,1,3,5,1,0
97,53,Female,Operations,4,62,24,3,1,7,2,1
98,43,Female,IT,1,44,4,1,2,3,3,0
99,44,Female,IT,2,60,16,2,2,7,3,1
100,57,Male,Sales,1,31,9,4,8,5,1,0
101,55,Male,Finance,3,24,20,2,4,8,3,0
102,42,Male,Support,4,52,16,4,3,7,3,1
103,47,Female,IT,3,65,8,3,4,1,1,1
104,55,Female,Operations,5,44,12,2,1,1,4,0
105,21,Male,Support,5,44,9,5,1,7,1,0
106,55,Male,Finance,1,54,28,2,5,6,3,1
107,57,Male,IT,5,34,7,4,7,9,2,0
108,34,Female,HR,5,61,6,4,9,8,3,1
109,23,Male,Marketing,2,45,1,1,7,6,4,0
110,21,Female,IT,2,29,1,2,5,6,1,0
111,25,Female,IT,3,43,29,5,3,9,3,1
112,46,Female,HR,3,54,3,3,8,4,3,1
113,34,Male,Operations,2,48,8,1,7,9,2,0
114,59,Female,Sales,1,57,29,2,4,8,4,1
115,47,Male,HR,2,24,24,1,1,3,3,0
116,29,Male,Sales,3,43,13,2,3,4,3,0
117,35,Male,IT,4,38,23,3,8,7,1,1
118,35,Male,Operations,5,65,10,3,2,3,4,1
119,46,Female,Finance,4,68,20,5,9,3,2,1
120,33,Female,IT,4,63,29,1,4,8,3,1
121,52,Female,HR,5,28,6,5,7,5,4,0
122,59,Female,Finance,2,45,27,2,7,5,4,1
123,52,Male,Marketing,1,44,24,3,8,8,4,1
124,24,Male,Finance,4,54,18,3,7,6,4,1
125,50,Male,HR,1,69,3,4,4,5,3,1
126,57,Male,Support,3,55,1,4,7,1,4,1
127,43,Female,Finance,4,33,24,5,5,5,1,0
128,59,Male,HR,3,25,22,1,7,8,1,0
129,35,Female,Support,2,51,21,2,3,9,2,1
130,49,Male,IT,4,45,20,5,7,6,2,1
131,56,Male,Support,3,34,27,3,7,3,4,1
132,33,Male,Operations,3,68,22,3,2,8,2,1
133,52,Male,Marketing,2,50,18,3,8,5,4,1
134,27,Female,Support,1,56,20,2,7,2,1,1
135,42,Female,Operations,1,57,17,5,9,1,1,1
136,48,Female,Operations,4,56,20,2,4,8,1,1
137,22,Female,Operations,2,38,6,3,9,2,1,0
138,26,Male,Support,4,33,10,4,1,3,2,0
139,48,Male,HR,1,55,9,5,5,9,2,0
140,48,Female,HR,2,56,10,4,7,1,4,1
141,40,Female,Marketing,5,30,22,5,4,8,2,0
142,50,Male,HR,2,46,8,3,7,2,1,0
143,31,Male,Sales,2,21,2,4,9,8,1,0
144,48,Female,HR,5,41,23,4,5,2,4,1
145,45,Female,HR,3,21,4,5,5,7,1,0
146,59,Female,HR,3,39,22,4,2,3,1,1
147,53,Male,IT,3,63,0,4,5,4,4,1
148,21,Female,Marketing,1,67,0,3,8,1,4,1
149,47,Female,Sales,2,36,19,5,4,1,3,1
150,33,Female,HR,5,23,4,5,2,8,2,0
151,23,Female,Marketing,1,33,28,1,8,8,2,1
152,59,Female,Finance,5,26,25,5,4,2,4,0
153,26,Male,IT,1,34,18,3,5,4,3,0
154,28,Female,Support,1,49,5,4,7,2,2,0
155,47,Male,HR,1,35,2,1,5,8,1,0
156,29,Female,Sales,5,59,20,4,4,7,4,1
157,57,Female,IT,4,21,26,5,7,7,4,0
158,53,Female,Sales,1,38,12,2,4,3,2,0
159,44,Male,Support,3,20,16,4,4,5,1,0
160,35,Male,Support,2,50,2,5,2,1,1,0
161,52,Male,IT,4,23,22,3,5,4,4,0
162,52,Female,Finance,4,46,2,5,8,4,4,0
163,44,Female,Marketing,5,44,20,1,4,1,1,1
164,32,Male,IT,4,41,22,2,2,7,4,0
165,59,Male,Operations,5,62,12,2,9,5,3,1
166,22,Female,Support,5,29,1,2,6,1,2,0
167,23,Male,Finance,3,69,2,3,3,5,1,1
168,57,Female,Support,1,52,19,2,5,8,2,1
169,37,Male,Operations,4,68,15,4,6,8,3,1
170,22,Male,Finance,1,67,20,3,9,2,4,1
171,22,Male,Support,1,63,11,5,5,1,2,1
172,48,Female,Operations,1,49,24,1,9,2,2,1
173,43,Female,Operations,5,49,8,3,1,6,4,0
174,57,Male,Support,1,35,15,1,4,5,2,0
175,52,Female,Support,4,28,3,3,1,4,2,0
176,53,Female,Sales,5,36,29,5,2,8,3,1
177,21,Female,IT,4,54,24,1,2,5,2,1
178,39,Female,IT,5,69,19,3,5,4,4,1
179,22,Male,Finance,2,66,17,1,1,8,4,1
180,46,Female,Marketing,2,34,25,2,3,1,4,1
181,52,Female,Support,2,67,0,2,6,9,1,1
182,26,Male,Sales,2,47,6,2,1,2,3,0
183,52,Female,IT,5,39,19,4,1,8,2,0
184,24,Female,IT,1,52,11,2,3,9,2,0
185,31,Female,Sales,3,52,7,2,9,8,4,0
186,37,Male,HR,3,55,7,5,2,9,4,0
187,58,Male,Sales,2,32,27,1,6,4,4,1
188,44,Female,IT,1,23,23,1,3,2,4,0
189,25,Female,Marketing,4,42,21,2,6,3,1,1
190,54,Male,HR,1,27,8,1,7,8,3,0
191,26,Male,Operations,4,32,13,3,7,5,3,0
192,42,Male,Sales,3,43,19,2,2,4,1,1
193,31,Female,Operations,1,59,4,2,3,3,2,1
194,36,Female,HR,1,65,19,4,4,3,2,1
195,53,Male,HR,3,49,20,3,8,7,3,1
196,29,Female,HR,1,49,1,2,5,8,3,0
197,26,Female,Finance,4,44,20,2,1,5,2,0
198,36,Female,Sales,1,52,9,1,9,8,1,1
199,49,Female,Support,4,28,23,2,1,9,1,0
200,23,Female,Marketing,2,45,8,2,2,4,2,0
201,40,Female,Marketing,1,43,6,2,7,2,1,0
202,56,Female,Operations,4,52,22,2,3,5,4,1
203,39,Male,Operations,3,58,29,4,6,2,3,1
204,46,Male,Support,2,44,21,3,8,2,2,1
205,23,Male,Operations,1,64,17,4,5,6,4,1
206,39,Male,Sales,4,34,25,1,1,1,4,1
207,40,Male,IT,1,60,11,5,3,2,1,1
208,52,Male,Operations,4,67,10,2,2,5,1,1
209,27,Male,HR,1,68,9,1,6,5,3,1
210,53,Male,Operations,2,60,12,5,5,3,3,1
211,59,Male,HR,2,25,8,2,7,5,2,0
212,38,Female,Finance,1,39,15,2,2,9,3,0
213,21,Female,IT,1,63,29,5,6,2,4,1
214,31,Male,IT,5,35,20,4,5,6,3,0
215,48,Female,Support,1,40,21,5,6,8,4,1
216,45,Female,Sales,1,34,16,5,5,3,4,0
217,43,Male,Sales,2,58,4,3,7,2,2,1
218,51,Male,Marketing,1,61,5,2,5,1,1,1
219,50,Male,Finance,3,23,9,2,7,1,3,0
220,55,Female,Support,1,43,10,4,1,4,2,0
221,27,Female,Sales,5,22,1,4,9,6,3,0
222,36,Male,HR,4,69,6,3,6,7,4,1
223,46,Female,Finance,2,20,13,3,9,8,3,0
224,22,Female,IT,3,49,3,3,1,8,1,0
225,21,Female,HR,4,32,4,4,2,1,3,0
226,32,Male,Support,3,37,18,5,7,8,3,0
227,25,Female,Support,2,59,20,2,4,1,4,1
228,57,Female,Finance,5,30,27,2,1,3,3,0
229,52,Female,IT,2,61,19,1,5,5,1,1
230,29,Female,Sales,3,48,27,4,4,8,3,1
231,55,Female,HR,3,23,29,4,6,8,4,0
232,39,Female,HR,2,44,9,3,7,6,2,0
233,36,Female,IT,1,55,5,1,3,4,4,0
234,23,Male,HR,2,55,1,1,6,4,4,0
235,40,Male,Sales,5,63,2,4,2,8,4,0
236,44,Female,Sales,2,59,27,3,4,3,2,1
237,53,Male,Sales,4,47,14,2,9,8,1,1
238,44,Female,IT,1,64,9,3,7,4,4,1
239,31,Female,Operations,4,27,16,2,2,9,4,0
240,28,Female,Operations,2,40,6,4,6,2,1,0
241,56,Male,Support,1,54,24,3,4,1,1,1
242,58,Female,Support,4,63,1,1,8,4,3,1
243,40,Female,HR,4,37,6,5,8,9,1,0
244,55,Male,Sales,1,66,14,1,1,7,2,1
245,45,Male,HR,1,44,2,2,8,9,4,0
246,55,Female,IT,3,65,4,4,7,9,4,1
247,45,Male,HR,1,60,21,3,1,9,2,1
248,49,Male,Marketing,2,24,7,4,3,9,3,0
249,38,Female,Operations,5,66,3,4,5,7,4,1
250,38,Female,HR,3,27,17,2,3,8,4,0
251,22,Female,HR,1,42,18,4,3,2,3,1
252,55,Male,Finance,5,22,7,3,1,9,3,0
253,36,Male,HR,3,63,22,1,8,2,3,1
254,56,Male,Marketing,2,56,5,4,9,8,2,1
255,53,Female,Operations,5,50,4,3,5,2,2,0
256,24,Male,Finance,1,48,26,3,1,8,1,1
257,53,Male,IT,1,60,4,2,1,3,3,0
258,34,Female,Support,2,39,16,4,9,2,2,1
259,41,Female,IT,3,22,29,2,1,6,2,0
260,40,Female,Operations,5,42,5,1,9,6,1,0
261,28,Male,Support,2,59,12,1,3,1,2,1
262,27,Female,IT,3,40,8,3,3,7,4,0
263,23,Male,Marketing,4,32,23,4,4,1,2,1
264,37,Male,HR,4,27,11,3,5,4,3,0
265,53,Female,Operations,3,24,9,4,6,6,1,0
266,32,Female,Support,1,44,0,2,6,8,3,0
267,42,Female,Finance,1,58,10,1,9,8,3,1
268,42,Female,HR,4,56,28,1,1,7,1,1
269,50,Female,IT,1,60,5,2,9,5,4,1
270,58,Male,IT,1,24,2,5,4,6,1,0
271,58,Male,Finance,3,27,5,5,7,8,4,0
272,28,Male,Marketing,3,63,8,5,6,3,4,1
273,47,Female,Finance,1,23,21,4,9,6,3,0
274,47,Male,Operations,3,60,7,2,2,4,3,1
275,54,Female,Finance,5,41,29,4,2,3,3,1
276,41,Female,IT,4,33,14,4,7,3,3,0
277,50,Male,Marketing,5,38,21,2,9,4,1,1
278,53,Male,Marketing,5,32,5,4,5,6,2,0
279,48,Female,Sales,1,54,22,2,7,1,1,1
280,53,Male,Finance,1,23,10,5,8,2,2,0
281,25,Female,Operations,5,52,28,5,8,4,1,1
282,39,Male,IT,5,41,9,4,4,9,3,0
283,24,Male,HR,2,20,10,1,7,8,2,0
284,55,Male,Marketing,2,30,3,2,1,8,1,0
285,37,Male,Finance,4,35,28,3,4,7,1,1
286,48,Male,Sales,5,23,12,3,5,6,4,0
287,50,Female,Operations,3,48,7,4,7,7,1,0
288,49,Male,Operations,2,58,19,1,6,6,3,1
289,26,Male,Support,1,63,14,2,4,3,1,1
290,55,Male,IT,5,57,6,5,3,6,1,0
291,57,Female,Marketing,3,43,0,4,6,7,3,0
292,44,Female,IT,3,28,27,2,5,6,2,0
293,49,Female,Sales,3,27,24,2,3,2,2,0
294,51,Female,HR,1,33,25,2,4,6,3,0
295,55,Female,HR,2,34,8,1,2,2,2,0
296,53,Male,HR,3,41,22,2,9,1,4,1
297,41,Male,Operations,2,56,7,1,7,5,1,1
298,52,Male,Marketing,4,34,1,1,3,4,1,0
299,43,Female,IT,1,25,25,2,8,9,2,0
300,53,Female,IT,2,20,13,5,8,9,2,0
301,23,Male,Sales,2,39,29,2,1,9,2,1
302,38,Female,HR,3,60,11,5,5,3,3,1
303,45,Female,Marketing,3,55,25,4,5,3,4,1
304,51,Female,Marketing,1,21,22,3,3,3,4,0
305,23,Male,Sales,2,25,16,4,2,5,2,0
306,44,Male,Finance,5,21,18,1,1,6,3,0
307,52,Female,Marketing,3,22,5,4,4,6,2,0
308,42,Female,Marketing,3,26,20,3,2,3,3,0
309,43,Female,IT,4,39,4,3,5,2,3,0
310,22,Female,Sales,1,68,24,5,2,6,1,1
311,47,Male,Marketing,2,60,5,4,1,4,2,0
312,22,Female,Marketing,2,60,2,1,9,9,1,1
313,46,Male,IT,2,24,15,1,2,2,1,0
314,37,Male,Marketing,3,44,17,5,4,4,4,1
315,53,Male,IT,1,57,13,5,3,2,3,1
316,29,Female,Finance,2,37,24,4,1,5,3,0
317,59,Male,Operations,5,20,14,5,8,3,3,0
318,49,Male,Support,4,44,25,3,2,4,3,1
319,46,Female,IT,4,36,29,1,8,9,1,1
320,55,Female,IT,2,65,3,3,1,5,3,0
321,45,Female,Marketing,3,34,10,2,6,9,4,0
322,44,Male,IT,4,24,4,3,4,5,4,0
323,33,Female,Sales,4,36,8,1,3,9,1,0
324,27,Male,HR,4,40,4,2,1,8,1,0
325,56,Male,HR,4,42,6,4,1,1,2,0
326,40,Female,Finance,2,62,17,2,7,3,2,1
327,21,Male,IT,1,29,17,5,6,5,3,0
328,28,Male,Sales,1,36,19,1,3,3,1,0
329,36,Male,Marketing,3,20,23,5,2,1,1,0
330,34,Male,Marketing,5,56,1,3,3,2,4,0
331,32,Female,Support,1,67,25,4,8,2,4,1
332,43,Male,Operations,5,26,22,1,7,4,4,0
333,35,Female,Finance,1,31,12,4,7,6,1,0
334,48,Male,Sales,1,59,12,1,5,2,2,1
335,54,Male,Sales,3,69,16,5,3,6,1,1
336,22,Female,Support,4,20,24,3,1,1,1,0
337,52,Male,Support,3,39,25,2,1,8,1,0
338,43,Male,Marketing,1,63,21,4,6,3,2,1
339,42,Male,Operations,4,50,26,1,4,8,4,1
340,45,Male,Marketing,4,23,16,1,7,3,3,0
341,42,Male,Operations,4,45,25,4,1,1,3,1
342,42,Male,HR,5,31,5,2,6,4,3,0
343,26,Female,Sales,1,41,13,3,7,3,2,0
344,35,Female,Support,2,20,20,1,1,8,2,0
345,57,Female,HR,3,20,13,1,2,1,3,0
346,53,Male,Marketing,5,22,11,4,9,9,3,0
347,28,Male,Finance,3,31,4,4,9,9,2,0
348,25,Male,IT,2,40,4,1,6,6,3,0
349,59,Female,Finance,4,32,3,1,4,5,1,0
350,24,Male,Finance,2,32,22,1,7,5,4,0
351,26,Female,IT,3,60,28,5,5,6,2,1
352,52,Male,Sales,2,37,24,1,3,7,4,0
353,50,Male,HR,1,52,12,3,4,8,3,0
354,55,Male,HR,2,25,3,3,2,3,3,0
355,36,Female,Sales,1,44,17,2,6,1,2,1
356,33,Male,IT,2,42,15,4,3,5,2,0
357,50,Female,Operations,1,43,17,2,7,1,1,1
358,39,Male,Finance,1,56,1,1,4,2,2,0
359,37,Male,Marketing,2,45,22,4,8,8,4,1
360,39,Female,HR,5,23,3,1,1,3,2,0
361,48,Male,Sales,4,57,19,4,9,4,1,1
362,46,Male,Marketing,4,54,16,5,3,6,4,1
363,57,Male,Support,4,68,19,5,3,8,3,1
364,46,Male,IT,1,30,5,5,5,1,2,0
365,43,Female,Marketing,4,55,17,2,1,2,3,1
366,29,Female,Marketing,1,44,19,4,3,6,1,1
367,32,Male,Finance,5,39,26,2,4,8,2,1
368,21,Male,IT,2,20,6,4,2,8,1,0
369,21,Female,Marketing,2,49,12,1,6,3,3,1
370,54,Male,HR,1,23,8,5,4,4,4,0
371,52,Female,IT,1,42,1,5,1,4,1,0
372,45,Male,HR,5,54,7,4,3,4,2,0
373,21,Female,Sales,4,61,13,2,7,2,2,1
374,36,Female,Sales,5,41,21,2,3,6,3,0
375,59,Female,Support,2,50,23,3,6,8,3,1
376,25,Female,Operations,2,20,17,5,6,9,3,0
377,42,Male,Sales,4,23,29,5,1,1,3,0
378,49,Male,Marketing,2,38,26,2,2,1,2,1
379,23,Female,IT,1,49,0,5,6,9,2,0
380,32,Female,Sales,2,20,22,2,2,4,2,0
381,46,Female,HR,3,67,28,3,2,7,1,1
382,36,Female,Marketing,4,38,8,4,4,2,4,0
383,57,Male,Sales,4,40,8,4,8,1,4,0
384,42,Female,Finance,4,41,1,3,6,7,4,0
385,49,Female,HR,3,69,15,5,8,6,1,1
386,34,Female,Support,5,21,3,1,4,3,3,0
387,48,Female,Support,1,25,12,5,3,4,3,0
388,25,Female,Support,4,40,16,2,7,1,3,1
389,50,Female,HR,2,52,10,1,7,7,2,1
390,25,Female,Support,1,38,22,3,2,9,1,0
391,32,Male,Operations,2,46,1,4,1,1,4,0
392,36,Female,Finance,1,56,3,4,8,2,3,1
393,46,Female,Operations,1,48,11,5,3,2,4,0
394,46,Female,Sales,2,47,1,4,6,6,3,0
395,41,Male,Finance,2,53,0,5,7,5,4,0
396,59,Male,HR,1,20,22,2,8,6,2,0
397,56,Male,Operations,4,67,5,2,6,1,1,1
398,53,Female,Marketing,2,44,15,3,7,6,3,1
399,50,Female,Finance,3,40,1,2,5,6,3,0
400,57,Female,HR,3,53,13,5,3,7,3,1
401,43,Male,IT,1,45,19,4,2,2,3,1
402,30,Female,Finance,5,55,11,2,7,6,1,1
403,25,Male,Finance,1,54,26,2,8,9,1,1
404,56,Male,Sales,1,42,18,5,8,9,3,1
405,54,Male,Marketing,4,36,27,2,3,2,4,1
406,51,Male,Sales,4,66,2,4,2,5,2,1
407,30,Male,Support,5,61,18,4,9,7,3,1
408,39,Female,Finance,5,31,10,4,6,5,2,0
409,52,Female,Finance,5,63,3,4,3,3,4,1
410,21,Male,Support,5,39,16,1,5,1,3,1
411,25,Female,Marketing,5,58,16,4,1,7,3,1
412,24,Female,Marketing,1,46,6,1,2,8,2,0
413,36,Male,Operations,1,61,4,4,9,6,3,1
414,44,Male,HR,3,56,18,4,3,7,4,1
415,36,Female,HR,3,39,24,5,8,9,1,1
416,22,Female,Operations,2,30,20,4,8,2,2,1
417,48,Female,HR,1,47,25,2,5,5,1,1
418,52,Female,Finance,5,21,18,4,8,3,2,0
419,47,Male,Operations,2,43,8,3,2,2,1,0
420,40,Female,Operations,4,35,16,5,2,3,4,0
421,44,Male,HR,1,31,29,5,4,4,4,1
422,32,Male,IT,3,35,8,4,8,2,3,0
423,55,Female,HR,1,55,13,3,2,2,4,1
424,53,Female,Sales,1,21,4,4,4,8,4,0
425,53,Female,IT,1,44,21,2,8,3,3,1
426,57,Male,Operations,1,48,1,5,3,3,2,0
427,32,Male,IT,4,47,23,5,8,4,4,1
428,23,Male,Finance,3,29,14,3,2,5,4,0
429,21,Male,Marketing,1,64,15,1,1,3,1,1
430,53,Female,IT,4,42,18,3,6,6,4,1
431,30,Male,Sales,2,51,0,2,8,3,3,0
432,49,Male,Marketing,1,50,22,3,9,8,4,1
433,33,Female,Finance,4,38,11,1,8,4,1,0
434,32,Male,Sales,5,34,18,2,2,5,4,0
435,51,Male,Support,2,52,19,2,1,3,1,1
436,22,Female,Marketing,3,36,14,1,7,5,4,0
437,55,Male,Support,1,55,4,4,7,7,2,0
438,43,Male,Finance,1,39,0,3,3,3,3,0
439,37,Male,Marketing,4,28,10,2,6,3,4,0
440,46,Male,Marketing,3,57,26,3,7,1,2,1
441,28,Female,HR,5,22,8,1,9,2,2,0
442,49,Male,Sales,2,21,6,5,1,4,3,0
443,46,Female,Sales,3,37,1,1,3,9,1,0
444,30,Male,IT,1,42,28,3,5,3,2,1
445,46,Female,Support,4,38,16,2,3,5,3,0
446,54,Female,Support,5,26,15,3,8,9,4,0
447,27,Female,Sales,4,54,15,5,6,4,1,1
448,24,Male,Sales,2,69,13,2,2,4,1,1
449,31,Male,Marketing,3,39,26,5,1,6,1,1
450,49,Male,Support,4,39,1,4,5,7,2,0
451,56,Female,Operations,4,38,18,1,9,6,2,1
452,45,Male,HR,1,60,27,4,9,4,3,1
453,41,Male,IT,4,35,2,3,1,7,1,0
454,56,Male,HR,5,57,7,4,3,3,1,1
455,30,Male,IT,3,40,20,1,6,3,3,1
456,57,Female,Finance,2,48,24,2,5,7,4,1
457,29,Female,Marketing,4,63,18,5,4,6,1,1
458,44,Male,Sales,5,57,15,2,2,2,1,1
459,55,Male,Sales,2,64,21,4,4,1,3,1
460,55,Male,Operations,5,43,3,3,5,6,3,0
461,56,Female,Support,4,56,7,4,2,9,2,0
462,38,Male,Support,4,48,27,1,1,3,4,1
463,59,Female,HR,3,50,0,1,7,9,2,0
464,52,Female,HR,1,64,3,3,7,6,2,1
465,44,Male,HR,5,58,6,2,8,4,3,1
466,43,Male,Support,1,31,24,1,6,2,2,1
467,52,Male,Sales,1,49,28,1,1,9,4,1
468,57,Female,Support,2,23,0,3,8,5,1,0
469,32,Female,HR,2,49,23,2,2,5,2,1
470,33,Male,Marketing,5,24,17,4,3,2,2,0
471,43,Female,IT,1,35,3,5,8,5,2,0
472,45,Male,Sales,3,46,19,3,4,6,4,1
473,55,Male,Marketing,1,23,13,2,5,2,4,0
474,50,Female,Finance,2,27,7,5,9,1,4,0
475,37,Female,Marketing,1,67,26,3,7,6,3,1
476,40,Female,Marketing,4,27,17,4,7,9,1,0
477,45,Female,Finance,4,36,6,4,1,9,3,0
478,42,Male,Marketing,3,65,2,2,1,9,1,0
479,33,Male,IT,5,63,24,2,8,5,2,1
480,39,Male,Sales,1,22,20,4,1,1,4,0
481,56,Female,Operations,4,46,13,4,2,3,4,0
482,32,Male,Support,5,53,11,3,4,8,4,0
483,39,Female,Finance,4,64,14,2,9,9,2,1
484,32,Female,Sales,5,40,7,5,7,4,1,0
485,29,Female,HR,5,62,4,4,7,3,3,1
486,27,Male,IT,4,43,16,5,7,2,3,1
487,48,Female,Operations,2,63,24,2,5,5,2,1
488,34,Female,IT,5,69,9,2,1,2,1,1
489,51,Female,IT,1,60,10,1,5,9,4,1
490,39,Female,HR,4,48,27,4,8,9,1,1
491,36,Female,Operations,2,58,22,2,7,3,1,1
492,25,Female,Support,4,25,15,2,7,4,4,0
493,55,Female,IT,3,33,15,4,2,9,1,0
494,32,Female,HR,1,69,3,1,1,1,2,1
495,45,Female,Finance,3,33,22,1,4,7,3,0
496,41,Female,HR,5,56,4,1,8,2,2,1
497,56,Female,Marketing,5,43,9,1,1,9,1,0
498,43,Female,Sales,3,32,13,3,2,3,4,0
499,36,Male,HR,3,20,8,4,7,6,3,0
500,59,Male,HR,5,31,17,4,5,5,2,0
501,59,Female,HR,2,61,19,4,6,2,1,1
502,34,Female,Support,1,43,5,1,8,9,4,0
503,51,Female,IT,4,56,10,1,9,3,2,1
504,25,Male,Support,3,39,20,2,8,6,1,1
505,55,Male,Operations,1,25,16,3,1,9,4,0
506,43,Male,HR,4,31,8,4,4,8,2,0
507,49,Female,HR,4,40,24,3,5,5,4,1
508,31,Female,Marketing,3,22,2,4,9,6,2,0
509,38,Female,Marketing,2,46,15,1,6,3,2,1
510,32,Female,Finance,2,65,19,1,6,5,1,1
511,29,Male,Finance,1,55,3,4,3,6,3,0
512,30,Female,Marketing,1,36,25,5,2,3,3,1
513,37,Male,Operations,5,68,23,1,2,2,4,1
514,58,Male,Finance,2,65,21,2,7,9,4,1
515,27,Female,Sales,1,34,14,1,5,7,4,0
516,33,Male,Sales,5,58,1,2,1,4,4,0
517,29,Male,Operations,4,23,19,3,5,3,4,0
518,47,Male,Marketing,1,36,16,1,1,4,1,0
519,22,Male,Finance,5,57,18,1,9,9,4,1
520,25,Female,HR,2,30,19,3,8,9,3,0
